排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'169,SH603283.赛腾股份,'39.39,'-2.23%,'1.42,'20.78,15.65%,0.40%,'3.42,1.02%,19.38%,'110,'-19.64%,专用设备
'170,SH603605.珀莱雅,'82.39,'-0.12%,'1.42,'19.91,14.32%,11.99%,'5.63,1.44%,31.86%,'326,'-1.32%,美容护理
'171,SZ002053.云南能投,'10.72,'-0.19%,'1.42,'18.33,13.12%,0.50%,'1.29,3.07%,7.25%,'99,'-3.19%,综合行业
'172,SZ002835.同为股份,'18.93,'+0.27%,'1.42,'19.80,15.01%,'-,'3.35,1.69%,18.10%,'41,'+0.29%,计算机设备
'173,SH600660.福耀玻璃,'55.56,'-0.41%,'1.43,'17.81,12.78%,18.64%,'3.84,3.24%,23.06%,'1113,'-8.12%,玻璃玻纤
'174,SH600420.国药现代,'11.27,'-0.79%,'1.44,'13.57,9.87%,0.69%,'1.11,2.66%,8.47%,'151,'-3.89%,化学制药
'175,SZ000088.盐田港,'4.59,'+0.44%,'1.44,'16.91,13.50%,0.28%,'1.31,2.84%,8.85%,'238,'-3.06%,航运港口
'176,SH600757.长江传媒,'9.72,'+1.04%,'1.45,'10.88,7.15%,2.09%,'1.19,4.22%,11.26%,'118,'+5.96%,文化传媒
'177,SH601390.中国中铁,'5.68,0.00%,'1.45,'5.32,4.28%,3.04%,'0.39,3.13%,7.51%,'1166,'-8.28%,工程建设
'178,SH603855.华荣股份,'21.64,'+1.12%,'1.45,'14.80,10.79%,3.20%,'3.26,4.62%,23.11%,'73,'+11.95%,专用设备
