序,股票,价,涨,北上,现金/市值,资产负债率,现金流.亿,市值.亿,PE.扣非,股息,净利润.亿,今年来,行业
'333,601226.华电科工,'6.81,'-1.30%,0.57%,14.42%,58.93%,'11.45,'79.39,'74.05,0.50%,'1.07,'+1.29%,工程机械
'334,600300.维维股份,'3.41,0.00%,1.82%,14.40%,23.58%,'7.94,'55.14,'14.73,3.75%,'3.74,'+9.69%,食品饮料
'335,605066.天正电气,'7.87,0.00%,'-,14.35%,43.40%,'5.70,'39.72,'30.82,4.47%,'1.29,'+35.16%,电网设备
'336,688211.中科微至,'33.80,'-3.04%,'-,14.34%,45.84%,'6.38,'44.48,'-,0.23%,'-1.85,'+15.56%,物流行业
'337,002246.北化股份,'17.31,'-1.14%,0.53%,14.33%,34.27%,'13.62,'95.04,'-,0.23%,'-0.04,'+71.14%,化学制品
'338,688348.昱能科技,'50.44,'+2.77%,0.57%,14.28%,22.59%,'11.26,'78.83,'88.27,0.79%,'0.89,'+4.32%,光伏设备
'339,603365.水星家纺,'17.15,'-0.17%,'-,14.28%,20.04%,'6.43,'45.04,'14.76,5.25%,'3.05,'+10.97%,纺织服装
'340,688009.中国通号,'5.57,'-0.18%,1.26%,14.23%,56.28%,'83.93,'589.85,'18.06,3.05%,'32.67,'-8.26%,交运设备
'341,600054.黄山旅游,'12.30,'+0.65%,2.14%,14.23%,15.30%,'12.77,'89.71,'28.41,1.40%,'3.16,'+10.51%,旅游酒店
'342,603708.家家悦,'11.29,'+0.89%,0.72%,14.17%,80.58%,'10.21,'72.07,'50.36,1.68%,'1.43,'-0.13%,商业百货
'343,688389.普门科技,'14.14,'-0.14%,0.25%,14.16%,24.26%,'8.58,'60.59,'21.96,1.99%,'2.76,'-2.98%,医疗器械
'344,600101.明星电力,'10.06,'-0.30%,0.16%,14.12%,27.97%,'7.78,'55.11,'31.57,1.19%,'1.75,'+15.48%,电力行业
'345,000523.红棉股份,'3.31,'+1.22%,0.17%,14.02%,40.01%,'8.52,'60.75,'72.29,'-,'0.84,'+8.52%,食品饮料
'346,601188.龙江交通,'3.55,'+0.85%,'-,14.02%,9.78%,'6.55,'46.71,'26.52,2.00%,'1.76,'+0.54%,铁路公路
