序,股票,价,涨,持股比,持有市值.亿,近3月,近1年,近2年,近3年,PE,股息,市值,今年来,行业
'128,600315.上海家化,'27.12,'-0.66%,4.88%,'6.91,'+2.24%,'+3.37%,'+4.38%,'+3.73%,'-,0.11%,'182.31,'+60.38%,美容护理
'129,600496.精工钢构,'3.61,'-0.82%,4.86%,'3.10,'+1.65%,'+4.42%,'+4.70%,'+4.80%,'14.43,2.22%,'71.84,'+22.80%,水泥建材
'130,002483.润邦股份,'6.62,'-1.19%,4.85%,'2.69,'+0.54%,'+3.95%,'+3.22%,%,'12.87,4.53%,'58.68,'+33.45%,专用设备
'131,600585.海螺水泥,'24.31,'-0.16%,4.83%,'41.46,'+0.03%,'+1.29%,'+0.95%,'-2.89%,'15.38,2.92%,'972.33,'+5.60%,水泥建材
'132,601117.中国化学,'7.75,'-1.40%,4.82%,'22.59,'+0.99%,'+1.36%,'+2.59%,'+3.07%,'8.66,2.40%,'473.28,'-4.31%,工程建设
'133,600123.兰花科创,'6.60,'-0.45%,4.81%,'4.62,'-0.53%,'-0.33%,'+1.67%,'+4.78%,'-,2.27%,'97.23,'-21.16%,煤炭行业
'134,600030.中信证券,'31.17,'-0.98%,4.79%,'161.38,'+0.24%,'+0.94%,'+0.68%,'+0.39%,'18.77,1.67%,'3802.89,'+7.79%,证券
'135,000719.中原传媒,'12.52,'-3.84%,4.79%,'6.08,'+1.64%,'+3.93%,'-0.31%,'+4.78%,'8.92,4.79%,'128.11,'+15.52%,文化传媒
'136,601098.中南传媒,'13.17,'+0.08%,4.78%,'11.27,'+0.11%,'+1.22%,'-1.37%,'-2.71%,'13.08,4.18%,'236.53,'-9.28%,文化传媒
'137,002558.巨人网络,'31.23,'-1.17%,4.76%,'21.69,'+0.59%,'+3.41%,'+2.13%,'+3.31%,'39.11,0.91%,'604.22,'+148.54%,游戏
'138,002249.大洋电机,'8.14,'-1.57%,4.75%,'7.63,'+0.44%,'+1.56%,'+3.16%,'+2.86%,'21.81,2.33%,'198.81,'+41.45%,电机
'139,600699.均胜电子,'20.94,'-1.32%,4.74%,'11.64,'+0.75%,'+2.28%,'+1.74%,'+2.96%,'21.66,1.25%,'292.25,'+35.50%,汽车零部件
'140,002475.立讯精密,'45.27,'-1.54%,4.73%,'119.03,'-1.58%,'-2.81%,'-3.17%,'-3.05%,'26.62,0.44%,'3282.99,'+11.69%,消费电子
'141,002050.三花智控,'31.89,'+0.03%,4.72%,'46.50,'-0.44%,'-6.78%,'-11.63%,'-15.64%,'37.27,1.10%,'1190.26,'+36.92%,家电行业
'142,603308.应流股份,'28.19,'+1.77%,4.72%,'7.40,'-1.51%,'+3.80%,'+4.20%,'+4.69%,'60.77,0.25%,'191.42,'+100.60%,通用设备
'143,002048.宁波华翔,'27.51,'+0.84%,4.71%,'7.05,'+1.23%,'+2.63%,'-1.36%,'+0.92%,'21.37,1.70%,'223.89,'+123.49%,汽车零部件
'144,002745.木林森,'9.05,'-0.66%,4.70%,'5.49,'+1.00%,'+0.37%,'+1.88%,'+0.80%,'62.27,4.53%,'134.32,'+4.44%,光学光电子
'145,000988.华工科技,'75.26,'+10.00%,4.65%,'21.99,'+0.82%,'+2.04%,'+1.60%,'+2.31%,'67.60,0.27%,'756.74,'+74.61%,电子元件
'146,600418.江淮汽车,'54.22,'-0.42%,4.61%,'40.35,'+1.88%,'+1.75%,'+2.98%,'+4.52%,'-,0.04%,'1184.17,'+44.59%,汽车整车
'147,600258.首旅酒店,'15.35,'+0.66%,4.60%,'7.26,'+0.93%,'+3.53%,'+3.05%,'+2.42%,'22.99,2.35%,'171.40,'+7.42%,旅游酒店
'148,688408.中信博,'47.29,'+0.90%,4.59%,'4.69,'+2.70%,'+3.05%,'+3.38%,%,'19.70,2.11%,'103.60,'-32.91%,光伏设备
'149,002318.久立特材,'22.37,'-0.67%,4.57%,'10.44,'+0.19%,'-0.92%,'+1.97%,'+2.11%,'13.20,4.34%,'218.59,'-0.59%,钢铁行业
'150,601229.上海银行,'9.48,'-0.63%,4.57%,'68.94,'+0.26%,'+0.81%,'+1.40%,'+1.09%,'-,5.27%,'1347.01,'+5.79%,银行
'151,300458.全志科技,'52.50,'+12.08%,4.56%,'14.94,'-1.02%,'+3.72%,'+3.75%,'+3.05%,'255.68,0.37%,'433.28,'+76.96%,半导体
'152,000100.TCL科技,'4.59,'-1.08%,4.55%,'36.98,'+0.21%,'+0.99%,'+0.16%,'+1.87%,'73.54,1.04%,'954.76,'-7.75%,光学光电子
'153,000425.徐工机械,'9.89,'+3.45%,4.54%,'41.50,'+0.14%,'+1.88%,'+0.85%,'+0.64%,'16.76,1.82%,'1162.37,'+27.36%,工程机械
