排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'294,SZ002580.圣阳股份,'14.71,'+1.31%,'1.87,'30.38,18.07%,0.31%,'2.91,0.27%,10.00%,'67,'+73.96%,电池
'295,SH603408.建霖家居,'11.79,'-1.01%,'1.88,'11.44,6.55%,1.39%,'1.58,6.19%,14.28%,'53,'-1.61%,装修装饰
'296,SH688278.特宝生物,'85.90,'+3.39%,'1.88,'36.74,20.00%,0.42%,'12.68,0.72%,39.89%,'349,'+18.06%,生物制品
'297,SZ002891.中宠股份,'59.51,'+0.12%,'1.88,'39.86,21.56%,7.01%,'6.29,0.99%,17.67%,'181,'+67.68%,农牧饲渔
'298,SH605016.百龙创园,'21.56,'+1.99%,'1.89,'30.61,16.72%,1.77%,'5.02,0.68%,17.55%,'91,'+66.73%,食品饮料
'299,SH600459.贵研铂业,'17.41,'+1.52%,'1.90,'22.54,13.03%,1.02%,'1.78,1.38%,8.22%,'132,'+28.81%,小金属
'300,SZ000403.派林生物,'17.74,'+0.23%,'1.90,'25.77,14.74%,0.74%,'2.13,2.17%,8.43%,'169,'+10.86%,生物制品
'301,SZ002112.三变科技,'13.56,'+1.12%,'1.90,'39.33,21.20%,'-,'4.62,0.46%,14.03%,'40,'+21.73%,电网设备
'302,SZ300304.云意电气,'14.52,'+8.60%,'1.91,'30.94,17.72%,0.37%,'3.91,0.54%,13.53%,'128,'+82.95%,汽车零部件
'303,SH600519.贵州茅台,'1476.10,'-0.26%,'1.92,'20.55,10.69%,5.80%,'7.75,3.50%,39.34%,'18485,'-1.24%,酿酒行业
'304,SH688029.南微医学,'93.51,'+2.31%,'1.93,'28.98,15.10%,0.74%,'4.36,1.60%,15.70%,'176,'+40.50%,医疗器械
'305,SZ002782.可立克,'17.02,'+4.22%,'1.93,'30.39,16.81%,0.97%,'4.11,0.88%,14.16%,'84,'+36.22%,电子元件
'306,SZ300864.南大环境,'20.72,'+0.93%,'1.93,'20.79,11.98%,'-,'2.58,4.07%,12.65%,'33,'+3.06%,环保行业
'307,SH688128.中国电研,'26.59,'-0.45%,'1.94,'20.35,12.08%,0.81%,'3.28,1.88%,17.00%,'108,'+29.27%,专用设备
'308,SZ000920.沃顿科技,'13.06,'-0.99%,'1.94,'27.46,14.32%,'-,'3.21,1.51%,11.96%,'62,'+48.52%,环保行业
'309,SZ002204.大连重工,'6.35,'-0.16%,'1.94,'22.88,17.00%,3.16%,'1.62,0.79%,7.30%,'123,'+28.56%,工程机械
'310,SH688208.道通科技,'42.02,'-1.18%,'1.96,'38.32,19.80%,6.46%,'7.61,1.44%,20.88%,'282,'+60.95%,计算机设备
'311,SH688628.优利德,'36.37,'-1.44%,'1.96,'22.82,12.28%,'-,'3.32,3.57%,14.74%,'41,'+1.69%,仪器仪表
'312,SZ300907.康平科技,'37.32,'+3.87%,'1.96,'42.62,21.83%,'-,'4.50,1.34%,10.78%,'36,'+77.38%,电机
'313,SH603158.腾龙股份,'11.88,'-8.83%,'1.97,'25.83,17.93%,'-,'2.56,1.35%,10.14%,'58,'+50.06%,汽车零部件
'314,SZ300908.仲景食品,'32.26,'+1.86%,'1.97,'26.81,14.26%,'-,'2.76,3.10%,10.38%,'47,'+7.74%,食品饮料
'315,SH600535.天士力,'16.51,'-0.06%,'1.99,'23.10,13.20%,2.35%,'1.99,3.21%,8.58%,'247,'+15.72%,中药
'316,SH603706.东方环宇,'21.36,'+1.23%,'1.99,'19.62,10.54%,'-,'2.46,4.21%,12.72%,'40,'+18.96%,燃气
'317,SZ300515.三德科技,'21.90,'+1.29%,'1.99,'27.73,14.88%,'-,'5.57,1.37%,21.45%,'45,'+86.36%,仪器仪表
'318,SH600422.昆药集团,'14.26,'-0.42%,'2.01,'17.50,13.09%,1.26%,'2.07,2.10%,11.64%,'108,'-8.17%,中药
'319,SZ300866.安克创新,'145.05,'+3.44%,'2.01,'32.28,18.55%,8.93%,'8.51,1.44%,27.84%,'778,'+50.83%,消费电子
'320,SH600098.广州发展,'6.88,'+4.08%,'2.02,'10.87,13.61%,0.67%,'0.89,3.92%,8.36%,'241,'+11.74%,电力行业
'321,SH603214.爱婴室,'19.28,'+0.57%,'2.02,'24.12,16.85%,'-,'2.29,1.88%,9.75%,'27,'-13.47%,商业百货
'322,SZ002351.漫步者,'14.00,0.00%,'2.02,'29.00,15.24%,1.70%,'4.48,1.79%,16.10%,'124,'-13.50%,消费电子
'323,SH603337.杰克股份,'48.01,'-3.46%,'2.03,'26.20,13.85%,3.26%,'4.89,1.68%,19.37%,'229,'+59.63%,专用设备
'324,SH603369.今世缘,'42.90,'-0.90%,'2.03,'16.82,8.33%,2.75%,'3.30,2.80%,20.72%,'535,'-2.48%,酿酒行业
'325,SZ002736.国信证券,'14.55,'-1.89%,'2.03,'13.39,6.59%,1.71%,'1.12,2.41%,8.80%,'1399,'+34.03%,证券
'326,SZ300207.欣旺达,'24.81,'+1.06%,'2.03,'30.52,16.39%,4.91%,'1.88,0.60%,6.27%,'458,'+12.11%,电池
'327,SZ000807.云铝股份,'19.41,'+0.10%,'2.04,'14.44,7.13%,5.67%,'2.19,2.11%,16.03%,'673,'+45.14%,有色金属
'328,SZ300644.南京聚隆,'35.04,'-0.68%,'2.04,'38.17,20.31%,'-,'3.91,0.71%,10.83%,'39,'+61.48%,塑料制品
'329,SH603611.诺力股份,'25.85,'-3.69%,'2.05,'14.25,7.82%,2.18%,'2.22,3.47%,16.29%,'67,'+50.13%,工程机械
'330,SH603897.长城科技,'26.80,'-0.37%,'2.05,'21.45,10.40%,0.14%,'2.31,8.21%,10.37%,'55,'+20.75%,电网设备
'331,SZ000936.华西股份,'8.43,'+10.05%,'2.05,'36.62,18.49%,0.72%,'1.40,0.47%,3.88%,'75,'+3.49%,化纤行业
'332,SH601877.正泰电器,'27.90,'+1.79%,'2.06,'13.30,6.76%,6.13%,'1.40,2.15%,10.85%,'600,'+22.42%,电网设备
'333,SH603236.移远通信,'106.81,'-2.89%,'2.06,'32.88,17.05%,6.36%,'6.35,1.15%,20.90%,'279,'+57.77%,通信设备
'334,SZ002899.英派斯,'21.04,'-1.82%,'2.06,'34.70,17.51%,'-,'1.81,0.36%,5.32%,'31,'-5.84%,家用轻工
'335,SH688588.凌志软件,'20.03,'-3.28%,'2.07,'35.44,17.50%,0.36%,'6.45,1.00%,18.91%,'80,'+47.04%,软件开发
'336,SZ002357.富临运业,'11.78,'+9.99%,'2.07,'23.71,20.45%,'-,'2.20,0.85%,9.72%,'37,'+68.06%,铁路公路
'337,SZ002731.萃华珠宝,'13.49,'+3.69%,'2.07,'14.10,17.32%,'-,'1.89,0.67%,14.27%,'35,'+44.59%,珠宝首饰
'338,SZ300857.协创数据,'105.21,'+5.04%,'2.07,'47.54,23.90%,0.64%,'10.12,0.20%,23.86%,'364,'+38.18%,消费电子
'339,SH603726.朗迪集团,'20.25,'+3.53%,'2.08,'22.53,11.81%,'-,'2.87,1.98%,13.24%,'38,'+31.16%,家电行业
'340,SZ000400.许继电气,'23.27,'-0.21%,'2.09,'21.11,10.60%,3.00%,'2.01,1.80%,9.82%,'237,'-14.62%,电网设备
