,股票,价,涨,最新股息,平均股息,扣非PE,PB,ROE,市值(亿),今年来,行业
'818,605056.咸亨国际,'14.29,'-0.49%,2.52%,1.96%,'24.03,'3.62,15.25%,'58.64,'+17.17%,仪器仪表
'819,002236.大华股份,'19.40,'-0.10%,3.32%,1.96%,'26.78,'1.72,9.85%,'637.63,'+24.80%,计算机设备
'820,002821.凯莱英,'110.78,'+3.61%,0.99%,1.96%,'41.29,'2.34,6.37%,'368.94,'+47.48%,医疗服务
'821,300724.捷佳伟创,'108.12,'+9.48%,1.11%,1.96%,'12.26,'3.01,30.52%,'375.95,'+74.95%,光伏设备
'822,300880.迦南智能,'20.23,'+0.30%,2.22%,1.96%,'30.15,'3.78,13.83%,'39.48,'-6.85%,电网设备
'823,601728.中国电信,'7.58,'-0.39%,3.43%,1.95%,'22.53,'1.49,7.41%,'5884.33,'+6.24%,通信服务
'824,603288.海天味业,'41.22,'-0.53%,2.09%,1.95%,'36.77,'6.16,20.25%,'2292.08,'-8.42%,食品饮料
'825,605166.聚合顺,'13.18,'+2.17%,1.01%,1.95%,'16.40,'2.13,13.87%,'41.48,'+11.44%,化学制品
'826,688032.禾迈股份,'112.84,'+2.85%,2.84%,1.95%,'117.07,'2.38,2.87%,'140.00,'+3.39%,光伏设备
'827,002831.裕同科技,'26.57,'+1.72%,3.55%,1.95%,'15.77,'2.16,13.17%,'244.58,'+0.44%,造纸印刷
'828,603808.歌力思,'8.12,'+0.74%,0.62%,1.94%,亏损,'1.17,'-1.00%,'29.97,'+16.87%,纺织服装
'829,001229.魅视科技,'35.72,'-0.56%,1.68%,1.94%,'53.65,'3.75,7.28%,'35.72,'+1.88%,计算机设备
'830,002117.东港股份,'12.93,'+3.03%,2.01%,1.94%,'52.07,'4.96,12.25%,'67.72,'+12.80%,造纸印刷
'831,002166.莱茵生物,'8.04,'+0.88%,1.24%,1.94%,'49.82,'1.96,4.50%,'59.63,'+8.96%,中药
'832,002407.多氟多,'13.55,'+0.45%,1.48%,1.94%,亏损,'1.96,'-1.00%,'161.30,'+14.73%,化学制品
'833,002820.桂发祥,'13.19,'+1.77%,1.14%,1.94%,亏损,'2.99,0.05%,'26.49,'+7.61%,食品饮料
'834,300774.倍杰特,'10.31,'+4.78%,2.91%,1.94%,'89.10,'2.90,3.19%,'42.14,'+20.27%,环保行业
'835,300960.通业科技,'29.51,'-1.99%,1.32%,1.94%,'82.77,'7.21,9.12%,'42.63,'+66.81%,交运设备
'836,600219.南山铝业,'3.99,'-1.72%,4.28%,1.93%,'8.64,'0.90,10.49%,'463.39,'+4.59%,有色金属
'837,600809.山西汾酒,'200.60,'-0.70%,3.02%,1.93%,'19.81,'6.82,36.95%,'2447.25,'+12.74%,酿酒行业
'838,603259.药明康德,'111.58,'+8.02%,1.21%,1.93%,'29.52,'5.50,24.03%,'2759.69,'+107.12%,医疗服务
'839,603338.浙江鼎力,'53.91,'-0.83%,1.85%,1.93%,'14.95,'2.58,18.75%,'272.97,'-14.53%,工程机械
'840,001333.光华股份,'21.40,'+1.33%,1.68%,1.93%,'22.27,'1.63,8.07%,'27.39,'+25.84%,化学制品
'841,002626.金达威,'20.85,'+2.66%,1.92%,1.93%,'28.26,'2.94,11.07%,'127.17,'+41.26%,食品饮料
'842,002752.昇兴股份,'5.65,'+1.25%,1.77%,1.93%,'17.23,'1.60,10.09%,'55.20,'-9.43%,包装材料
'843,603132.金徽股份,'13.85,'+2.14%,2.82%,1.92%,'26.18,'4.16,16.06%,'135.45,'+25.74%,有色金属
'844,605090.九丰能源,'29.66,'+3.09%,4.03%,1.92%,'14.39,'2.00,15.51%,'197.50,'+7.16%,燃气
'845,000612.焦作万方,'9.19,'+3.49%,1.41%,1.92%,'14.10,'1.65,12.12%,'109.56,'+45.65%,有色金属
'846,001206.依依股份,'25.98,'+2.81%,3.35%,1.92%,'24.15,'2.58,12.15%,'48.04,'+59.90%,美容护理
'847,002999.天禾股份,'6.86,'+0.73%,1.81%,1.92%,'106.97,'2.01,2.47%,'23.84,'+18.08%,化肥行业
'848,300532.今天国际,'13.43,'-1.83%,3.29%,1.92%,'33.09,'3.24,12.08%,'60.88,'+18.55%,互联网服务
'849,603073.彩蝶实业,'17.39,'+3.51%,1.73%,1.91%,'23.76,'1.48,6.38%,'20.17,'+21.23%,纺织服装
'850,603170.宝立食品,'14.55,'-0.27%,2.75%,1.91%,'25.68,'4.18,17.86%,'58.20,'-2.62%,食品饮料
'851,688355.明志科技,'19.37,'+2.49%,2.58%,1.91%,'60.47,'2.26,6.36%,'24.01,'+18.62%,通用设备
'852,688378.奥来德,'24.19,'+2.50%,0.86%,1.91%,亏损,'3.63,1.50%,'60.30,'+28.70%,专用设备
'853,688480.赛恩斯,'48.01,'+8.40%,1.31%,1.91%,'41.76,'4.05,10.45%,'45.77,'+80.32%,环保行业
'854,001914.招商积余,'12.40,'-0.40%,1.94%,1.91%,'15.51,'1.24,8.52%,'131.48,'+19.51%,房地产服务
'855,002203.海亮股份,'12.11,'+0.67%,1.38%,1.91%,'31.90,'1.83,5.59%,'260.47,'+14.52%,有色金属
'856,002603.以岭药业,'16.73,'+2.14%,1.79%,1.91%,亏损,'2.57,'-1.00%,'279.51,'+4.50%,中药
'857,600051.宁波联合,'7.32,0.00%,1.64%,1.90%,'57.58,'0.68,2.13%,'22.76,'+13.79%,综合行业
'858,600361.创新新材,'4.61,'+0.22%,1.92%,1.90%,'25.89,'1.60,7.41%,'173.15,'+21.69%,有色金属
'859,600510.黑牡丹,'7.22,'-0.41%,0.57%,1.90%,'61.54,'0.70,1.18%,'74.51,'+52.61%,房地产开发
'860,600850.电科数字,'29.50,'-4.53%,1.19%,1.90%,'38.70,'4.29,11.58%,'202.41,'+25.26%,互联网服务
'861,603927.中科软,'21.64,'-0.60%,1.57%,1.90%,'69.18,'5.77,8.75%,'179.84,'+1.53%,软件开发
'862,000591.太阳能,'4.64,'-1.07%,2.43%,1.90%,'18.28,'0.76,4.61%,'181.82,'-0.09%,电力行业
'863,000718.苏宁环球,'2.24,'+0.45%,4.46%,1.90%,'210.83,'0.72,0.53%,'67.98,'-3.41%,房地产开发
'864,002082.万邦德,'9.72,'+1.78%,0.83%,1.90%,亏损,'2.21,1.16%,'59.46,'+51.17%,化学制药
'865,300009.安科生物,'11.93,'+6.33%,2.10%,1.90%,'33.33,'5.03,17.03%,'199.53,'+42.23%,生物制品
'866,300019.硅宝科技,'23.35,'+2.23%,1.28%,1.90%,'35.00,'3.53,11.52%,'91.79,'+62.13%,化学制品
'867,300610.晨化股份,'12.28,'-0.73%,1.63%,1.90%,'41.70,'2.28,8.57%,'26.40,'+25.00%,塑料制品
'868,600458.时代新材,'14.39,'-0.76%,1.33%,1.89%,'30.23,'1.75,7.77%,'134.00,'+14.45%,风电设备
