排名,股票,价,涨,PEG,PE.扣非,预测增速,北上持股,PB,股息,ROE,市值.亿,今年来,行业
'353,SZ300303.聚飞光电,'6.41,'+0.31%,'0.81,'26.82,44.83%,1.67%,'2.39,2.02%,9.76%,'90,'-3.97%,光学光电子
'354,SZ300360.炬华科技,'16.03,'+0.25%,'0.82,'11.30,15.42%,2.99%,'1.99,3.75%,18.52%,'82,'-1.93%,电网设备
'355,SZ300811.铂科新材,'55.70,0.00%,'0.82,'42.62,52.98%,0.62%,'5.98,0.36%,16.18%,'161,'+3.80%,小金属
'356,SH601117.中国化学,'8.02,'+0.25%,'0.83,'8.28,10.16%,4.82%,'0.77,2.22%,9.65%,'490,'-3.26%,工程建设
'357,SH601137.博威合金,'18.89,'+1.78%,'0.83,'10.89,13.42%,0.61%,'1.75,2.65%,17.54%,'153,'-4.21%,有色金属
'358,SH603025.大豪科技,'14.29,'+1.20%,'0.83,'26.41,31.13%,0.36%,'6.24,2.43%,24.85%,'160,'-3.76%,专用设备
'359,SZ002352.顺丰控股,'46.42,'-0.39%,'0.83,'22.48,30.09%,7.25%,'2.51,3.94%,11.32%,'2247,'+16.27%,物流行业
'360,SZ002371.北方华创,'331.58,'+0.94%,'0.83,'39.02,47.27%,10.19%,'7.26,0.24%,20.86%,'2370,'+14.76%,半导体
'361,SZ003018.金富科技,'12.39,'-0.16%,'0.83,'21.99,27.20%,'-,'2.01,2.42%,9.43%,'32,'+37.39%,塑料制品
'362,SH600496.精工钢构,'3.35,'+0.60%,'0.84,'12.38,17.11%,4.86%,'0.74,2.39%,6.10%,'67,'+13.96%,水泥建材
'363,SH688616.西力科技,'14.12,'+0.71%,'0.84,'23.56,30.42%,'-,'2.97,2.12%,12.98%,'25,'+39.10%,电网设备
'364,SZ000411.英特集团,'11.20,'-1.50%,'0.84,'11.42,13.98%,0.33%,'1.25,3.37%,11.41%,'59,'+8.92%,医药商业
'365,SZ000563.陕国投Ａ,'3.62,'-0.28%,'0.84,'13.45,17.35%,0.87%,'1.02,2.48%,7.73%,'186,'+3.18%,多元金融
'366,SH601188.龙江交通,'3.49,'-0.29%,'0.85,'27.93,31.48%,'-,'0.99,2.03%,3.57%,'46,'-1.16%,铁路公路
'367,SZ002749.国光股份,'15.49,'-0.26%,'0.85,'19.17,22.93%,0.28%,'3.54,5.82%,20.05%,'72,'+13.56%,农药兽药
'368,SH600030.中信证券,'29.16,'-0.07%,'0.86,'18.56,21.81%,4.79%,'1.43,2.45%,7.99%,'3558,'-0.03%,证券
'369,SH600377.宁沪高速,'14.22,'-0.21%,'0.87,'14.59,16.84%,0.76%,'1.81,3.45%,13.00%,'543,'-3.96%,铁路公路
'370,SH600508.上海能源,'12.41,'+2.06%,'0.87,'17.33,20.28%,0.92%,'0.69,3.22%,4.00%,'90,'-4.60%,煤炭行业
'371,SH603829.洛凯股份,'18.48,'-2.38%,'0.87,'21.78,26.76%,'-,'2.68,0.68%,13.18%,'30,'+38.10%,电网设备
'372,SH603950.长源东谷,'23.92,'+0.38%,'0.87,'29.68,35.46%,0.29%,'2.84,0.90%,9.98%,'78,'+37.04%,汽车零部件
'373,SZ003010.若羽臣,'48.90,'+0.89%,'0.87,'88.15,101.78%,0.23%,'9.95,0.77%,11.37%,'106,'+144.73%,互联网服务
'374,SH600498.烽火通信,'22.35,'+0.54%,'0.88,'36.95,45.11%,1.33%,'1.89,0.80%,5.26%,'265,'+15.88%,通信设备
'375,SH603920.世运电路,'32.79,'+0.34%,'0.88,'31.67,37.27%,0.36%,'3.55,1.83%,12.58%,'236,'+14.15%,电子元件
'376,SH600993.马应龙,'28.82,'-1.74%,'0.89,'23.26,27.20%,2.87%,'2.91,1.39%,13.05%,'124,'+10.38%,中药
'377,SH603111.康尼机电,'6.58,'+0.46%,'0.89,'15.99,16.35%,1.04%,'1.44,3.80%,9.15%,'57,'+13.16%,交运设备
'378,SH688575.亚辉龙,'15.96,'-1.30%,'0.90,'37.06,37.97%,0.31%,'3.28,1.32%,9.10%,'91,'+2.47%,医疗器械
'379,SZ000596.古井贡酒,'139.47,'-0.39%,'0.90,'12.80,14.38%,1.26%,'2.80,4.29%,23.11%,'572,'-16.02%,酿酒行业
'380,SZ002243.力合科创,'8.32,'-0.48%,'0.90,'38.80,95.15%,0.86%,'1.39,0.84%,3.63%,'101,'+4.14%,美容护理
'381,SZ002850.科达利,'116.68,'+2.03%,'0.90,'20.17,23.05%,2.43%,'2.54,1.75%,13.42%,'313,'+21.58%,电池
'382,SZ002906.华阳集团,'30.62,'+1.06%,'0.90,'23.93,27.42%,0.41%,'2.40,1.58%,10.44%,'159,'+1.09%,汽车零部件
'383,SZ002946.新乳业,'16.99,0.00%,'0.90,'25.16,26.30%,0.52%,'4.47,1.68%,19.88%,'146,'+19.02%,食品饮料
'384,SZ003031.中瓷电子,'55.43,'-0.07%,'0.90,'43.18,54.10%,0.80%,'4.06,0.76%,9.77%,'250,'+6.75%,通信设备
'385,SH600488.津药药业,'4.50,'-2.39%,'0.91,'36.81,39.61%,1.51%,'1.58,2.18%,4.35%,'49,'+8.57%,化学制药
'386,SH605116.奥锐特,'23.45,'-0.04%,'0.91,'24.30,27.37%,0.23%,'3.90,1.24%,17.43%,'95,'+12.60%,化学制药
'387,SH603181.皇马科技,'15.05,'+0.07%,'0.92,'21.52,24.51%,0.43%,'2.76,1.40%,13.65%,'89,'+32.68%,塑料制品
'388,SZ000020.深华发Ａ,'13.78,'-0.14%,'0.92,'104.83,122.20%,'-,'9.54,0.00%,9.54%,'25,'+10.95%,光学光电子
'389,SZ000913.钱江摩托,'16.58,'+0.42%,'0.92,'13.94,18.71%,2.13%,'1.78,4.72%,13.18%,'87,'-5.49%,交运设备
'390,SZ002839.张家港行,'4.53,'-0.88%,'0.92,'5.89,6.47%,4.34%,'0.56,4.38%,10.07%,'112,'+8.55%,银行
'391,SH603823.百合花,'12.89,'-0.23%,'0.93,'29.62,34.84%,'-,'2.23,1.16%,7.80%,'54,'+40.39%,化学制品
