序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	自定义 
143	13238	财通均衡优选	8月5日	1.1484	1.1484	0.87%	-1.89%	4.70%	19.77%	38.00%	86.31%	58.95%	25.52%	37.48%	14.84%	83.98%
144	15856	格林碳中和主	8月5日	1.401	1.401	0.62%	1.22%	11.08%	21.66%	28.05%	86.23%	40.85%	---	39.81%	40.10%	83.57%
145	12094	鹏华创新升级	8月5日	1.3281	1.3281	1.02%	-0.02%	12.96%	28.77%	69.96%	86.22%	66.60%	54.13%	70.01%	32.81%	81.19%
146	19190	华商品质价值	8月5日	1.5943	1.5943	1.12%	1.46%	11.23%	21.39%	34.71%	86.14%	---	---	32.99%	59.43%	82.31%
147	20303	信澳星亮智选	8月5日	1.7123	1.7123	1.04%	1.46%	8.51%	22.59%	31.04%	85.92%	---	---	34.06%	71.23%	82.65%
148	213003	宝盈策略增长	8月5日	1.2376	2.5376	0.02%	0.14%	15.33%	35.82%	38.19%	85.71%	51.28%	22.17%	44.58%	234.78%	82.73%
149	15857	格林碳中和主	8月5日	1.3858	1.3858	0.62%	1.21%	11.03%	21.53%	27.81%	85.42%	39.67%	---	39.47%	38.58%	82.78%
150	14114	广发沪港深医	8月5日	1.1555	1.1555	0.03%	-1.24%	18.59%	42.55%	82.43%	85.38%	61.07%	23.41%	78.43%	15.55%	82.20%
151	14314	鹏华创新增长	8月5日	1.5387	1.5387	1.22%	-0.41%	9.99%	29.42%	76.88%	85.34%	64.69%	53.62%	74.12%	53.87%	79.36%
152	519158	新华趋势领航	8月5日	2.7636	4.019	0.28%	0.67%	18.45%	41.93%	36.95%	84.86%	30.99%	-12.81%	37.82%	328.33%	79.29%
153	13239	财通均衡优选	8月5日	1.115	1.115	0.87%	-1.90%	4.64%	19.52%	37.45%	84.85%	56.43%	22.55%	36.84%	11.50%	82.52%
154	3373	大成景禄灵活	8月5日	1.8081	1.9541	0.22%	-2.02%	6.64%	15.93%	34.23%	84.82%	45.83%	38.36%	36.64%	101.02%	81.72%
155	20304	信澳星亮智选	8月5日	1.6968	1.6968	1.04%	1.45%	8.46%	22.39%	30.63%	84.82%	---	---	33.55%	69.68%	81.57%
156	14115	广发沪港深医	8月5日	1.1391	1.1391	0.03%	-1.25%	18.55%	42.41%	82.08%	84.68%	59.78%	21.96%	78.04%	13.91%	81.50%
157	3374	大成景禄灵活	8月5日	1.7983	1.9443	0.22%	-2.02%	6.64%	15.90%	34.17%	84.65%	45.54%	37.86%	36.57%	99.97%	81.54%
158	698	宝盈科技30	8月5日	4.078	4.078	-0.17%	1.17%	15.33%	33.53%	34.28%	84.03%	43.44%	13.12%	40.67%	307.80%	80.84%
159	18287	信澳优势产业	8月5日	1.6144	1.6144	-0.26%	2.24%	13.90%	37.41%	28.05%	83.83%	65.24%	---	30.90%	61.44%	76.44%
160	8988	大成科技创新	8月5日	1.9555	1.9555	1.15%	-2.41%	21.56%	37.45%	39.46%	83.75%	54.68%	32.67%	45.40%	95.55%	83.15%
161	5225	广发量化多因	8月5日	2.0849	2.0849	0.99%	1.57%	10.43%	23.33%	34.10%	83.66%	53.77%	38.05%	35.84%	108.49%	79.67%
162	3993	前海开源沪港	8月5日	1.749	2.197	1.11%	-0.27%	8.14%	16.25%	26.51%	83.64%	56.43%	76.83%	37.12%	141.61%	84.57%
163	1753	红土创新新兴	8月5日	1.643	1.643	0.12%	-2.09%	25.04%	44.38%	47.09%	83.58%	36.58%	-11.52%	49.36%	64.30%	78.59%
164	15368	国泰君安领航	8月5日	1.3954	1.3954	0.89%	1.04%	14.38%	25.11%	28.94%	83.08%	43.32%	---	33.93%	39.54%	80.96%
165	501077	富国创新企业	8月5日	2.1168	2.1168	-0.02%	-0.20%	10.18%	7.57%	9.95%	83.07%	29.96%	18.97%	19.86%	111.68%	79.76%
